,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 44
492,2018-07-01,AA,19805,AA,N304RB,1554,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1100,1055.0,-5.0,-1.0,1100-1159,21.0,1116.0,1349.0,13.0,1421,1402.0,-19.0,-2.0,1400-1459,0.0,,0.0,201.0,187.0,153.0,1.0,1096.0,5,,,,,,
495,2018-07-01,AA,19805,AA,N399AN,1571,12478,1247805,31703,JFK,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1105,1120.0,15.0,1.0,1100-1159,19.0,1139.0,1418.0,44.0,1414,1502.0,48.0,3.0,1400-1459,0.0,,0.0,189.0,222.0,159.0,1.0,1089.0,5,4.0,0.0,33.0,0.0,11.0,
501,2018-07-01,AA,19805,AA,N198AA,1610,12478,1247805,31703,JFK,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",800,758.0,-2.0,-1.0,0800-0859,19.0,817.0,1037.0,10.0,1115,1047.0,-28.0,-2.0,1100-1159,0.0,,0.0,195.0,169.0,140.0,1.0,1089.0,5,,,,,,
502,2018-07-01,AA,19805,AA,N901AA,1626,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1515,1506.0,-9.0,-1.0,1500-1559,30.0,1536.0,1757.0,25.0,1844,1822.0,-22.0,-2.0,1800-1859,0.0,,0.0,209.0,196.0,141.0,1.0,1096.0,5,,,,,,
528,2018-07-01,AA,19805,AA,N303RG,970,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",829,825.0,-4.0,-1.0,0800-0859,26.0,851.0,1114.0,12.0,1143,1126.0,-17.0,-2.0,1100-1159,0.0,,0.0,194.0,181.0,143.0,1.0,1096.0,5,,,,,,
545,2018-07-01,AA,19805,AA,N995NN,1249,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",550,548.0,-2.0,-1.0,0001-0559,18.0,606.0,826.0,6.0,854,832.0,-22.0,-2.0,0800-0859,0.0,,0.0,184.0,164.0,140.0,1.0,1096.0,5,,,,,,
564,2018-07-01,AA,19805,AA,N825NN,2268,12478,1247805,31703,JFK,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",630,629.0,-1.0,-1.0,0600-0659,19.0,648.0,912.0,11.0,937,923.0,-14.0,-1.0,0900-0959,0.0,,0.0,187.0,174.0,144.0,1.0,1089.0,5,,,,,,
576,2018-07-01,AA,19805,AA,N814NN,2392,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1655,1718.0,23.0,1.0,1600-1659,38.0,1756.0,2018.0,13.0,2021,2031.0,10.0,0.0,2000-2059,0.0,,0.0,206.0,193.0,142.0,1.0,1096.0,5,,,,,,
585,2018-07-01,AA,19805,AA,N112AN,1,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",800,754.0,-6.0,-1.0,0800-0859,14.0,808.0,1020.0,16.0,1114,1036.0,-38.0,-2.0,1100-1159,0.0,,0.0,374.0,342.0,312.0,1.0,2475.0,10,,,,,,
587,2018-07-01,AA,19805,AA,N103NN,3,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1200,1154.0,-6.0,-1.0,1200-1259,22.0,1216.0,1425.0,3.0,1504,1428.0,-36.0,-2.0,1500-1559,0.0,,0.0,364.0,334.0,309.0,1.0,2475.0,10,,,,,,
594,2018-07-01,AA,19805,AA,N107NN,33,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",700,700.0,0.0,0.0,0700-0759,21.0,721.0,936.0,11.0,1020,947.0,-33.0,-2.0,1000-1059,0.0,,0.0,380.0,347.0,315.0,1.0,2475.0,10,,,,,,
597,2018-07-01,AA,19805,AA,N113AN,117,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1530,1527.0,-3.0,-1.0,1500-1559,17.0,1544.0,1755.0,10.0,1851,1805.0,-46.0,-2.0,1800-1859,0.0,,0.0,381.0,338.0,311.0,1.0,2475.0,10,,,,,,
599,2018-07-01,AA,19805,AA,N104NN,133,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1700,1658.0,-2.0,-1.0,1700-1759,17.0,1715.0,1927.0,6.0,2027,1933.0,-54.0,-2.0,2000-2059,0.0,,0.0,387.0,335.0,312.0,1.0,2475.0,10,,,,,,
605,2018-07-01,AA,19805,AA,N107NN,185,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",2115,2111.0,-4.0,-1.0,2100-2159,26.0,2137.0,2355.0,6.0,41,1.0,-40.0,-2.0,0001-0559,0.0,,0.0,386.0,350.0,318.0,1.0,2475.0,10,,,,,,
613,2018-07-01,AA,19805,AA,N344AN,243,12478,1247805,31703,JFK,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1530,1527.0,-3.0,-1.0,1500-1559,17.0,1544.0,1803.0,6.0,1858,1809.0,-49.0,-2.0,1800-1859,0.0,,0.0,208.0,162.0,139.0,1.0,1089.0,5,,,,,,
615,2018-07-01,AA,19805,AA,N117AN,255,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1000,952.0,-8.0,-1.0,1000-1059,22.0,1014.0,1220.0,15.0,1313,1235.0,-38.0,-2.0,1300-1359,0.0,,0.0,373.0,343.0,306.0,1.0,2475.0,10,,,,,,
624,2018-07-01,AA,19805,AA,N102NN,300,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",2015,2008.0,-7.0,-1.0,2000-2059,40.0,2048.0,2259.0,24.0,2346,2323.0,-23.0,-2.0,2300-2359,0.0,,0.0,391.0,375.0,311.0,1.0,2475.0,10,,,,,,
625,2018-07-01,AA,19805,AA,N106NN,302,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1800,1754.0,-6.0,-1.0,1800-1859,19.0,1813.0,2035.0,7.0,2132,2042.0,-50.0,-2.0,2100-2159,0.0,,0.0,392.0,348.0,322.0,1.0,2475.0,10,,,,,,
628,2018-07-01,AA,19805,AA,N101NN,331,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1100,1051.0,-9.0,-1.0,1100-1159,14.0,1105.0,1312.0,19.0,1409,1331.0,-38.0,-2.0,1400-1459,0.0,,0.0,369.0,340.0,307.0,1.0,2475.0,10,,,,,,
634,2018-07-01,AA,19805,AA,N116AN,341,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1430,1424.0,-6.0,-1.0,1400-1459,13.0,1437.0,1648.0,6.0,1739,1654.0,-45.0,-2.0,1700-1759,0.0,,0.0,369.0,330.0,311.0,1.0,2475.0,10,,,,,,
645,2018-07-01,AA,19805,AA,N969AN,1311,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1215,1210.0,-5.0,-1.0,1200-1259,25.0,1235.0,1457.0,8.0,1538,1505.0,-33.0,-2.0,1500-1559,0.0,,0.0,203.0,175.0,142.0,1.0,1096.0,5,,,,,,
648,2018-07-01,AA,19805,AA,N191AN,1357,12478,1247805,31703,JFK,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1700,1717.0,17.0,1.0,1700-1759,20.0,1737.0,1951.0,17.0,2029,2008.0,-21.0,-2.0,2000-2059,0.0,,0.0,209.0,171.0,134.0,1.0,1089.0,5,,,,,,
650,2018-07-01,AA,19805,AA,N304RB,1389,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1755,1856.0,61.0,4.0,1700-1759,23.0,1919.0,2138.0,32.0,2119,2210.0,51.0,3.0,2100-2159,0.0,,0.0,204.0,194.0,139.0,1.0,1096.0,5,0.0,0.0,0.0,0.0,51.0,
660,2018-07-01,AA,19805,AA,N949NN,1530,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",730,727.0,-3.0,-1.0,0700-0759,16.0,743.0,1002.0,37.0,1046,1039.0,-7.0,-1.0,1000-1059,0.0,,0.0,196.0,192.0,139.0,1.0,1096.0,5,,,,,,
661,2018-07-01,AA,19805,AA,N921AN,2510,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",655,654.0,-1.0,-1.0,0600-0659,17.0,711.0,936.0,7.0,1003,943.0,-20.0,-2.0,1000-1059,0.0,,0.0,188.0,169.0,145.0,1.0,1096.0,5,,,,,,
664,2018-07-01,AA,19805,AA,N189AN,2572,12478,1247805,31703,JFK,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1315,1311.0,-4.0,-1.0,1300-1359,15.0,1326.0,1545.0,8.0,1624,1553.0,-31.0,-2.0,1600-1659,0.0,,0.0,189.0,162.0,139.0,1.0,1089.0,5,,,,,,
